id,username,song_title,total_stream_time,country,last_stream_date,last_device_used
1287,tbxnee,Ditto,41089,Brazil,2024-02-01,Tablet
1288,AverageAden,Ditto,12261,China,2024-01-13,Tablet
1289,LacedUpLauren,Cool With You,37012,Kazakhstan,2024-05-19,Tablet
1290,Gunnermaniac,ASAP,19125,China,2024-05-06,Mobile
1291,Vicksy,ASAP,12217,Norway,2024-07-05,Smart TV
1292,roboolol,ASAP,14972,Sri Lanka,2024-03-06,Smart TV
1293,witwix,Super Shy,19871,Australia,2024-03-19,Desktop
1294,MYMTUMTUM69,Cookie,18735,Venezuela,2024-06-13,Desktop
1295,DanielFenner,Super Shy,20510,Sri Lanka,2024-12-09,Mobile
1296,Naklas,Hype Boy,24731,Kuwait,2024-05-10,Smart TV
1297,PeteZahHutt,Super Shy,37244,Saudi Arabia,2024-05-15,Smart TV
1298,Minaegi_,OMG,42030,Algeria,2024-07-18,Tablet
1299,Shirox1980,New Jeans,16754,Germany,2024-01-03,Mobile
1300,exlelite,New Jeans,25297,Venezuela,2024-02-05,Tablet
1301,SirPumpkn,Super Shy,11978,Poland,2024-05-07,Desktop
1302,Fenya,Super Shy,21220,Hungary,2024-03-22,Smart TV
1303,spicybackpain,Super Shy,27244,Malaysia,2024-08-23,Tablet
1304,SiTo7,Hype Boy,30543,Turkey,2024-12-28,Mobile
1305,agedticket,ETA,42604,Malaysia,2024-09-20,Smart TV
1306,AlinaRinRin,ASAP,41694,Saudi Arabia,2024-12-21,Mobile
1307,dangerlyoha,New Jeans,39938,Malaysia,2024-12-15,Smart TV
1308,Ellohime,OMG,24906,Saudi Arabia,2024-01-01,Mobile
1309,Hasvik,OMG,31497,Greece,2024-01-21,Mobile
1310,FailArmy,ASAP,38534,Algeria,2024-12-09,Tablet
1311,ItsSky,OMG,11123,Switzerland,2024-03-27,Mobile
1312,TeamLiquid,New Jeans,19852,Mexico,2024-03-24,Mobile
1313,OaksLab,Attention,35236,Israel,2024-08-07,Mobile
1314,Destroy,ETA,11130,Chile,2024-10-08,Desktop
1315,staycationtg,Super Shy,17782,Switzerland,2024-03-25,Tablet
1316,OInter,Attention,37396,Colombia,2024-12-26,Mobile
1317,Swagger,OMG,18207,Germany,2024-05-02,Smart TV
1318,MeLeBron,OMG,33805,UK,2024-01-16,Tablet
1319,ChannelTwo,New Jeans,24487,Nigeria,2024-10-19,Smart TV
1320,Kunshikitty,Cool With You,18675,Qatar,2024-03-14,Smart TV
1321,syrinxx1337,ETA,16406,South Africa,2024-04-23,Mobile
1322,Freezecz,Cool With You,19259,Austria,2024-08-27,Tablet
1323,GoEaSy,Ditto,12366,Venezuela,2024-03-17,Smart TV
1324,cNed,Cool With You,14394,Brazil,2024-07-01,Tablet
1325,Espe,Ditto,27127,Czech Republic,2024-09-17,Tablet
1326,Dashy,ASAP,11368,Kuwait,2024-05-25,Desktop
1327,SAEVID,ETA,39949,Venezuela,2024-07-24,Tablet
1328,AriaSaki,ETA,15968,Greece,2024-01-22,Smart TV
1329,blue_mx,New Jeans,28374,Pakistan,2024-09-27,Smart TV
1330,9QOQ,ETA,14487,France,2024-11-07,Mobile
1331,Kerios,ASAP,20046,Vietnam,2024-02-28,Desktop
1332,Emerickson,Cookie,19921,USA,2024-01-27,Desktop
1333,Pepo3393,Hype Boy,37394,Denmark,2024-06-09,Tablet
1334,d4mm_,Attention,30510,Canada,2024-06-02,Mobile
1335,Makina,ASAP,42397,Thailand,2024-10-12,Smart TV
1336,Mushu,OMG,28724,Finland,2024-03-25,Mobile
1337,PureChiLL,Cookie,39316,Austria,2024-08-01,Tablet
1338,Brozime,OMG,24583,France,2024-12-02,Mobile
1339,PangaeaPanga,New Jeans,27851,South Korea,2024-05-13,Mobile
1340,PokerStaples,Super Shy,41317,France,2024-07-25,Desktop
1341,Yuuie,New Jeans,15125,Russia,2024-07-22,Tablet
1342,nadmyre,Super Shy,14720,Indonesia,2024-03-09,Mobile
1343,gsmVoiD,Cool With You,30837,Indonesia,2024-12-16,Smart TV
1344,GoldenTot,ETA,39181,New Zealand,2024-07-14,Mobile
1345,MEKABEAR,Cool With You,19204,Australia,2024-06-09,Tablet
1346,Delt4Forc3,ETA,28767,China,2024-10-10,Smart TV
1347,blake,Cookie,10424,Kenya,2024-07-06,Tablet
1348,Snake_Nade,New Jeans,15659,Algeria,2024-05-03,Desktop
1349,Sajam,ASAP,20225,USA,2024-07-10,Desktop
1350,Henrirejaune,Cool With You,39048,Mexico,2024-09-25,Smart TV
1351,tajsama,Cool With You,21823,Pakistan,2024-09-15,Mobile
1352,WooxSolo,New Jeans,17132,Czech Republic,2024-08-10,Smart TV
1353,Suto,New Jeans,29920,Russia,2024-09-20,Tablet
1354,EsVandal,ASAP,33020,Turkey,2024-10-19,Smart TV
1355,Anakq,Cool With You,37067,Saudi Arabia,2024-12-04,Smart TV
1356,akaStinger,Cookie,31345,Switzerland,2024-12-19,Mobile
1357,mira,New Jeans,16499,Australia,2024-12-24,Mobile
1358,csruhub2,Ditto,10229,France,2024-12-14,Smart TV
1359,teb3,ASAP,27033,Hungary,2024-04-28,Mobile
1360,LEGIQN,Super Shy,10101,Brazil,2024-10-06,Smart TV
1361,fluyr,OMG,37598,Mexico,2024-03-14,Desktop
1362,Pato,Super Shy,15929,France,2024-09-05,Mobile
1363,J_Alexander_HS,New Jeans,27318,Romania,2024-04-07,Smart TV
1364,xXxTheFocuSxXx,Cool With You,17209,Argentina,2024-02-27,Mobile
1365,Loopk,New Jeans,11278,Peru,2024-10-25,Tablet
1366,Pyroo,ASAP,41710,Russia,2024-04-01,Tablet
1367,TwoBiers,Cool With You,26693,Pakistan,2024-02-21,Mobile
1368,Larvinen12,Cookie,42257,Mexico,2024-05-04,Desktop
1369,MONSTERSANDEXPLOSIONS,ETA,34460,France,2024-06-22,Smart TV
1370,AmazonMusic,Super Shy,24284,Greece,2024-04-19,Desktop
1371,TURI,OMG,35044,Indonesia,2024-05-08,Desktop
1372,CrazySam4,Attention,37805,Ukraine,2024-01-28,Smart TV
1373,Fitz,Ditto,18390,Peru,2024-09-28,Mobile
1374,ViviLaia,Ditto,38444,Egypt,2024-07-19,Mobile
1375,CasamentoNERD,Cookie,11415,Netherlands,2024-11-02,Mobile
1376,Attacker,OMG,13556,India,2024-09-18,Desktop
1377,thecaiox,Ditto,30406,Algeria,2024-05-17,Tablet
1378,Kimuh,Attention,19610,Sweden,2024-07-21,Desktop
1379,Noxious,Hype Boy,21290,Greece,2024-01-08,Mobile
1380,TheChief1114,OMG,41704,Italy,2024-10-25,Mobile
1381,fruity,Attention,40901,Italy,2024-03-04,Mobile
1382,Jadi,Ditto,35520,Chile,2024-01-18,Smart TV
1383,officiallybunnies,ASAP,14297,Canada,2024-12-25,Mobile
1384,LucasHR,New Jeans,26312,Kenya,2024-03-06,Smart TV
1385,lethamyr_rl,Cool With You,32995,Greece,2024-07-22,Tablet
1386,esbfifa1,Attention,21527,Argentina,2024-07-08,Desktop
1387,FlamingoW,Cookie,23176,Uzbekistan,2024-05-22,Smart TV
1388,Canko,Ditto,28946,USA,2024-06-25,Smart TV
1389,Quirkitized,ASAP,39675,Germany,2024-07-14,Desktop
1390,Patty,ETA,31310,UK,2024-07-20,Smart TV
1391,PumuscorHD,Cool With You,42617,Israel,2024-08-22,Mobile
1392,EliasTibianoDoido,ASAP,26714,Sri Lanka,2024-05-28,Smart TV
1393,Marco,Hype Boy,20594,Colombia,2024-04-23,Mobile
1394,J4CKIECHAN,Attention,29996,India,2024-04-04,Mobile
1395,febbydoto,ETA,13653,Saudi Arabia,2024-10-07,Mobile
1396,OlesyaBulletka,Hype Boy,29914,Netherlands,2024-12-13,Tablet
1397,ChickenPrism,Super Shy,39684,Finland,2024-02-05,Smart TV
1398,MissClick_,Super Shy,28314,Indonesia,2024-06-01,Mobile
1399,Poko,Hype Boy,42397,Egypt,2024-12-26,Desktop
1400,BenFruit,ASAP,24869,Germany,2024-02-17,Mobile
1401,TES_,Cool With You,11126,India,2024-06-18,Smart TV
1402,JiNo_DesTroYeR,Cool With You,36405,Belgium,2024-10-18,Mobile
1403,og_meikr,OMG,13432,Brazil,2024-04-18,Desktop
1404,illumina1337,ETA,16502,France,2024-11-18,Smart TV
1405,assaultszn,New Jeans,35346,Argentina,2024-05-09,Tablet
1406,KostbI4,New Jeans,24317,Netherlands,2024-05-26,Smart TV
1407,elchicha,Super Shy,33238,Mexico,2024-05-28,Mobile
1408,MCES,ETA,10493,Nepal,2024-04-09,Mobile
1409,missypwns,ETA,15423,South Korea,2024-04-05,Tablet
1410,Germench,Super Shy,34432,Qatar,2024-11-01,Smart TV
1411,rekvizit8bit,Attention,10772,Belgium,2024-06-12,Smart TV
1412,volx,Hype Boy,21300,New Zealand,2024-01-14,Desktop
1413,GiampytekOfficial,Attention,15732,Kenya,2024-02-10,Tablet
1414,JeanMassietAccropolis,New Jeans,12874,Czech Republic,2024-12-09,Desktop
1415,Zetalot,Ditto,38263,Chile,2024-06-13,Tablet
1416,finargot,New Jeans,32830,China,2024-09-14,Smart TV
1417,Acie,Ditto,21986,India,2024-06-10,Mobile
1418,Cahlaflour,Cool With You,41261,Philippines,2024-09-17,Desktop
1419,Dboy,Cool With You,16972,UK,2024-09-06,Tablet
1420,Bum1six3,Cookie,24089,UK,2024-09-05,Smart TV
1421,JapaneseKoreanUG,Cookie,37623,Australia,2024-04-23,Tablet
1422,Cesarvsc,OMG,21174,Nigeria,2024-08-16,Desktop
1423,Ralph,OMG,26638,UAE,2024-03-01,Mobile
1424,playapex,Super Shy,23613,France,2024-04-12,Desktop
1425,hurma,ASAP,39086,Kazakhstan,2024-11-24,Tablet
1426,Wandayss,New Jeans,29548,Italy,2024-07-01,Smart TV
1427,HITPOINTCZ,Hype Boy,17079,Chile,2024-06-25,Smart TV
1428,MSStudio,New Jeans,35145,Indonesia,2024-02-15,Mobile
1429,Alixxa,Cool With You,28643,Australia,2024-11-01,Mobile
1430,JojoHF,Ditto,23418,Sri Lanka,2024-05-27,Smart TV
1431,MattHDr,Cool With You,22014,Kenya,2024-07-16,Smart TV
1432,VKingPlays,Hype Boy,38354,Sweden,2024-07-19,Desktop
1433,serega_pirat,Cool With You,13442,UK,2024-09-19,Mobile
1434,PECET0,New Jeans,21054,Italy,2024-02-07,Tablet
1435,EasyAllies,Cool With You,18031,Brazil,2024-01-15,Smart TV
1436,StTasha,ASAP,41307,Vietnam,2024-09-24,Desktop
1437,Larxa,ETA,18936,Mexico,2024-01-01,Tablet
1438,OGN_EMPIRES,Cool With You,18596,Kenya,2024-06-20,Smart TV
1439,ItsJSTN,Super Shy,30740,Thailand,2024-11-15,Desktop
1440,zanuda,Super Shy,29830,Kazakhstan,2024-11-06,Smart TV
1441,theneedledrop,ASAP,31745,Uzbekistan,2024-02-28,Mobile
1442,GALLERIA_GM,ETA,35655,Czech Republic,2024-07-03,Desktop
1443,Casalskills,Ditto,19846,Colombia,2024-02-08,Smart TV
1444,MnXT,Attention,36614,Egypt,2024-07-06,Smart TV
1445,Mew2King,New Jeans,15810,Czech Republic,2024-11-10,Tablet
1446,LazaPLAYS,ASAP,10606,Hungary,2024-08-04,Desktop
1447,Baker,Ditto,34029,Uzbekistan,2024-10-27,Smart TV
1448,Wildigenia,OMG,28499,Finland,2024-03-21,Smart TV
1449,logic,ASAP,23555,Peru,2024-02-28,Smart TV
1450,PistolPete2506,Cool With You,12258,Netherlands,2024-04-04,Desktop
1451,bt0,ETA,27606,Portugal,2024-03-13,Mobile
1452,Akademiks,Super Shy,27231,UAE,2024-03-17,Tablet
1453,Paladins,Cookie,16948,Kazakhstan,2024-05-11,Desktop
1454,AuSLove,Attention,20803,Poland,2024-01-23,Tablet
1455,BenZaie,ETA,38509,Belgium,2024-11-14,Smart TV
1456,RushIntenso,OMG,34325,Portugal,2024-05-13,Tablet
1457,Zvonimir,Ditto,17144,Greece,2024-03-28,Desktop
1458,LaserBelch,Cookie,12518,Chile,2024-01-20,Tablet
1459,santidead,Hype Boy,36734,Netherlands,2024-08-18,Tablet
1460,mehdideluxe,Hype Boy,37171,Venezuela,2024-11-04,Desktop
1461,Avery,New Jeans,32621,Qatar,2024-11-16,Smart TV
1462,Vvassago,New Jeans,13276,UAE,2024-12-28,Tablet
1463,Zemie,OMG,35990,Thailand,2024-07-11,Desktop
1464,JohnyBastions,Cookie,18753,Venezuela,2024-11-18,Tablet
1465,Purpp,OMG,17963,Qatar,2024-12-18,Mobile
1466,Karthas,OMG,23195,Greece,2024-12-24,Desktop
1467,swag_,Cookie,25395,Kuwait,2024-07-03,Tablet
1468,TheVicc,Cool With You,28291,India,2024-02-10,Tablet
1469,Lawlman,ASAP,15586,Finland,2024-03-13,Smart TV
1470,TapL,ETA,31343,Colombia,2024-02-21,Tablet
1471,reiderrabbit,ETA,27166,Romania,2024-01-21,Desktop
1472,Zentreya,Cookie,18163,New Zealand,2024-10-16,Tablet
1473,bLYYYPLAYS,OMG,17415,India,2024-06-15,Smart TV
1474,Xednim,OMG,17923,China,2024-10-10,Smart TV
1475,Black,Cookie,18113,Argentina,2024-10-24,Desktop
1476,LuckReunion,Ditto,39588,Ukraine,2024-10-18,Desktop
1477,Ballatw,Super Shy,36544,Switzerland,2024-07-12,Smart TV
1478,DiNo,Attention,11014,Indonesia,2024-02-27,Mobile
1479,Ayrun,Cool With You,23970,Finland,2024-04-03,Tablet
1480,Rogu,Cool With You,32620,Saudi Arabia,2024-02-03,Tablet
1481,iTermosifoni,Ditto,20773,Netherlands,2024-08-14,Tablet
1482,Mabzouel,Ditto,35424,Bangladesh,2024-06-06,Smart TV
1483,JasonSulli,ETA,19088,Algeria,2024-01-14,Desktop
1484,Sjeletyven1,Ditto,19538,Czech Republic,2024-11-21,Desktop
1485,xHankyy,Cool With You,17382,Brazil,2024-04-20,Desktop
1486,Miekii,Attention,10349,Canada,2024-12-26,Mobile
1487,Curvyllama,ETA,19656,Japan,2024-09-02,Smart TV
1488,Bestmarmotte,OMG,15164,Switzerland,2024-03-04,Desktop
1489,Clym,New Jeans,35621,New Zealand,2024-09-02,Mobile
1490,pelaajatcom,ASAP,35362,Thailand,2024-09-22,Mobile
1491,Kyrenis,ETA,20019,Norway,2024-06-14,Desktop
1492,Moadmoad,Cool With You,38650,Italy,2024-01-20,Mobile
1493,y0nd,New Jeans,24931,Sweden,2024-06-03,Mobile
1494,Vovapain,ASAP,32378,Hungary,2024-07-19,Mobile
1495,Stenberg,Attention,32789,Belgium,2024-07-03,Desktop
1496,LJoga,ASAP,16474,China,2024-01-28,Desktop
1497,GMNaroditsky,Attention,15875,Poland,2024-10-04,Mobile
1498,letw1k3,Cookie,19535,USA,2024-03-13,Desktop
1499,AlperBicen,ETA,13306,Indonesia,2024-05-16,Smart TV
1500,Bananasaurus_Rex,Hype Boy,10301,Germany,2024-12-11,Mobile
1501,TaehaTypes,Ditto,15622,Morocco,2024-04-05,Tablet
1502,Medved_ede,Ditto,18610,Poland,2024-09-14,Mobile
1503,Bladecito,Cookie,18763,Greece,2024-09-01,Tablet
1504,Autophil,Super Shy,19518,Russia,2024-12-12,Desktop
1505,cahchec,Hype Boy,30062,Australia,2024-10-10,Smart TV
1506,DADDY_LAW_69,ASAP,23991,Denmark,2024-08-04,Tablet
1507,desertbus,Cookie,30885,Greece,2024-06-22,Smart TV
1508,Malganyr,ETA,37638,Turkey,2024-03-16,Mobile
1509,Nitroow,ASAP,27731,Japan,2024-02-25,Mobile
1510,Karvarousku,New Jeans,12049,Australia,2024-08-01,Desktop
1511,BigDaddy,Hype Boy,41174,Indonesia,2024-12-01,Desktop
1512,JaboodyShow,Ditto,30048,Brazil,2024-09-11,Smart TV
1513,Hctuan,New Jeans,17265,Austria,2024-03-11,Desktop
1514,WorldPokerTour,ASAP,28316,Indonesia,2024-12-26,Smart TV
1515,Lanvirion,Hype Boy,11134,Nigeria,2024-07-14,Mobile
1516,zneb,Cookie,17157,Saudi Arabia,2024-10-08,Smart TV
1517,crazyfacetw,ETA,32777,Morocco,2024-09-27,Desktop
1518,eldenguee,New Jeans,22022,Denmark,2024-02-06,Mobile
1519,LiLqki,New Jeans,35259,Portugal,2024-05-24,Mobile
1520,Robfortes,Cookie,37031,Turkey,2024-04-10,Smart TV
1521,Limealicious,Cookie,27158,Brazil,2024-08-10,Tablet
1522,fufinkaa,ETA,33294,UK,2024-07-24,Desktop
1523,ScottJund,Cookie,38783,Finland,2024-07-26,Tablet
1524,ClassyPax,Cool With You,40760,Czech Republic,2024-03-23,Smart TV
1525,Poly,ASAP,36231,Philippines,2024-12-11,Desktop
1526,jaystreazy,Attention,22756,Canada,2024-11-16,Desktop
1527,Mates,New Jeans,19113,Japan,2024-11-14,Tablet
1528,Veni,OMG,39225,Belgium,2024-08-16,Smart TV
1529,Mortdog,New Jeans,11716,UK,2024-06-26,Mobile
1530,loud_thurzin,ETA,14621,Uzbekistan,2024-01-22,Smart TV
1531,Ascalon,Ditto,26474,Romania,2024-06-15,Tablet
1532,Edberg,Cookie,13131,Italy,2024-07-12,Desktop
1533,Gerrit,Cookie,17654,Morocco,2024-12-20,Desktop
1534,UnrealYuki,OMG,38099,Japan,2024-11-28,Desktop
1535,JaimeAltozano,Ditto,27507,Venezuela,2024-03-06,Desktop
1536,lProd_,Hype Boy,28659,Australia,2024-04-15,Desktop
1537,kirdez,ASAP,13724,Italy,2024-12-24,Desktop
1538,BadBoyHaloIs,Ditto,14876,Indonesia,2024-12-01,Smart TV
1539,aimbotcalvin,OMG,37446,Canada,2024-03-07,Smart TV
1540,MyBookieMadden,Cool With You,29466,Kazakhstan,2024-05-14,Tablet
1541,Naded,OMG,19788,Israel,2024-02-25,Mobile
1542,VG_Ultimate,OMG,34692,Kuwait,2024-03-10,Mobile
1543,Maikeru,Cool With You,11145,Greece,2024-05-16,Tablet
1544,Noward,New Jeans,26834,Kazakhstan,2024-07-09,Tablet
1545,jimmy_dietulpe,Hype Boy,26749,Denmark,2024-05-25,Smart TV
1546,aesma,OMG,39955,Venezuela,2024-04-09,Smart TV
1547,PurpleBixi,Cookie,40439,Japan,2024-10-03,Tablet
1548,Lyndi,Hype Boy,18016,Czech Republic,2024-11-20,Desktop
1549,Priestahh,Hype Boy,10640,Qatar,2024-06-05,Tablet
1550,PresentsKR,New Jeans,33791,USA,2024-01-07,Mobile
1551,Abyss,New Jeans,38953,Czech Republic,2024-08-26,Tablet
1552,Sereda,OMG,16914,Spain,2024-05-08,Tablet
1553,Octavian0,ETA,30759,Australia,2024-11-12,Mobile
1554,RadiantSoul_,ETA,30035,Japan,2024-09-06,Smart TV
1555,DooleyNoted,Cool With You,32769,Thailand,2024-05-17,Desktop
1556,CletusBueford,Hype Boy,15596,Czech Republic,2024-06-18,Tablet
1557,SuppyColleen,Cookie,39632,Belgium,2024-10-19,Desktop
1558,rainbrain,Ditto,29901,South Korea,2024-01-20,Desktop
1559,watchVENN,Hype Boy,27602,Japan,2024-01-03,Mobile
1560,JenaUrf,Cookie,16404,Russia,2024-03-24,Smart TV
1561,Ming,Super Shy,11469,Portugal,2024-12-01,Desktop
1562,KidPlayerR,Cookie,14471,South Korea,2024-03-07,Mobile
1563,FarbizzBat9,Hype Boy,19352,Switzerland,2024-03-18,Desktop
1564,JonahVeil,Super Shy,10565,Sri Lanka,2024-11-25,Mobile
1565,Bananirou,ASAP,27736,Czech Republic,2024-10-16,Tablet
1566,SandyRavage,Super Shy,42653,Kuwait,2024-07-10,Mobile
1567,Prefoxfox,New Jeans,19936,UAE,2024-09-12,Mobile
1568,Modigga,OMG,35302,Sri Lanka,2024-04-15,Mobile
1569,Gnut5,Ditto,34865,Saudi Arabia,2024-04-07,Tablet
1570,Odisnos,OMG,24118,Peru,2024-05-10,Mobile
1571,DaddyDimmu,ETA,22961,Russia,2024-06-23,Smart TV
1572,Pedguin,Ditto,29008,Kenya,2024-11-28,Mobile
1573,Lachu,ASAP,15103,Bangladesh,2024-12-27,Mobile
1574,NoSoyUnYtuber,New Jeans,26058,Pakistan,2024-01-18,Tablet
1575,TrakasSinN,Cookie,24617,Chile,2024-07-14,Smart TV
1576,Matts,Super Shy,38294,China,2024-01-08,Mobile
1577,Lory,Cool With You,32891,Norway,2024-02-12,Mobile
1578,LoLArabia,Attention,38218,Chile,2024-03-04,Desktop
1579,Roier,Super Shy,32534,Spain,2024-06-11,Tablet
1580,Xuxa,ETA,15529,Argentina,2024-01-01,Tablet
1581,IMHansNiemann,Attention,27217,Kuwait,2024-08-05,Tablet
1582,dubs,Super Shy,28653,Chile,2024-06-19,Tablet
1583,Paplovag,ASAP,35165,Kenya,2024-07-23,Desktop
1584,Kreo,Hype Boy,17411,Hungary,2024-03-19,Tablet
1585,ekatze007,Hype Boy,39490,Sweden,2024-04-13,Mobile
1586,nyanners,Ditto,19537,France,2024-11-28,Smart TV
1587,JKFIFA,Cool With You,10708,Kuwait,2024-10-19,Mobile
1588,Flyrie,Ditto,35551,Finland,2024-12-14,Desktop
1589,xlightmoonx,ETA,34943,Qatar,2024-12-21,Tablet
1590,LURN,Ditto,11225,France,2024-10-09,Smart TV
1591,thomasPASTE,New Jeans,28664,Pakistan,2024-07-04,Smart TV
1592,enotishka18,ASAP,30213,Argentina,2024-03-20,Desktop
1593,Micaelala,Super Shy,11839,Finland,2024-03-10,Mobile
1594,MANTARRAYA,Hype Boy,32113,Thailand,2024-10-03,Mobile
1595,FK_ORCA,ASAP,31124,Brazil,2024-10-08,Mobile
1596,StreamOVER,Attention,17939,Denmark,2024-11-26,Mobile
1597,bigbluffzinc,ASAP,21800,Spain,2024-10-24,Tablet
1598,jenntacles,Ditto,23449,Russia,2024-02-04,Desktop
1599,Pink_Sparkles,Hype Boy,23645,Italy,2024-09-12,Mobile
1600,Jhonson,ETA,28579,Belgium,2024-06-24,Smart TV
1601,WithoutAim,ASAP,40606,Japan,2024-09-09,Smart TV
1602,FrivviFox,Hype Boy,16378,Japan,2024-05-01,Smart TV
1603,esAcarry,Attention,13238,Colombia,2024-04-28,Smart TV
1604,greninjalol1,OMG,31872,New Zealand,2024-03-19,Mobile
1605,LEBED93,ETA,31035,Nigeria,2024-06-06,Mobile
1606,SopFix,Hype Boy,25767,USA,2024-04-01,Desktop
1607,AfroSenju,Hype Boy,33235,UAE,2024-04-27,Desktop
1608,imviolet_,New Jeans,24784,Switzerland,2024-11-10,Smart TV
1609,MissBaffy,Cookie,18096,Romania,2024-05-12,Mobile
1610,soyyarisan,Attention,11404,Germany,2024-05-20,Mobile
1611,bladeito,ETA,28007,Philippines,2024-10-24,Mobile
1612,MLDEG,Super Shy,12925,Vietnam,2024-03-28,Desktop
1613,Sharishaxd,Hype Boy,24213,China,2024-06-21,Desktop
1614,killercreeper55_,Attention,40421,Netherlands,2024-02-15,Smart TV
1615,GAECHKATM,ETA,37452,Australia,2024-11-15,Desktop
1616,matthewkheafy,Super Shy,15817,Russia,2024-06-27,Mobile
1617,Sceptic,Cool With You,17857,Kazakhstan,2024-05-04,Mobile
1618,NVIDIAGeForcePL,OMG,26067,Kenya,2024-02-05,Mobile
1619,Vitality,Cool With You,33761,Colombia,2024-06-24,Desktop
1620,TheMainManSWE,OMG,28694,Algeria,2024-04-15,Smart TV
1621,Eroktic,ETA,13555,Poland,2024-10-13,Desktop
1622,RagingRavage,ETA,28004,Kuwait,2024-07-18,Mobile
1623,KRL_stream,Hype Boy,15223,Egypt,2024-11-04,Smart TV
1624,TheMrSark,Hype Boy,17117,Czech Republic,2024-07-27,Smart TV
1625,KiddNation,Ditto,16393,New Zealand,2024-08-16,Tablet
1626,Farod,ETA,37858,New Zealand,2024-01-09,Mobile
1627,MerlinChess,Hype Boy,40631,Venezuela,2024-06-18,Mobile
1628,TurkRichKing,New Jeans,32080,Russia,2024-08-16,Desktop
1629,SCVODArchives,ASAP,12204,South Africa,2024-10-21,Tablet
1630,tkch_taisyou,Cookie,38888,Romania,2024-08-06,Mobile
1631,DauT,Cookie,35199,Bangladesh,2024-06-13,Tablet
1632,JimPanse,Ditto,27390,Egypt,2024-02-04,Smart TV
1633,ster,Super Shy,38003,Venezuela,2024-10-21,Tablet
1634,kaquka,Cookie,39500,Denmark,2024-04-12,Mobile
1635,Khaldor,OMG,22082,Mexico,2024-07-27,Smart TV
1636,Retku,Super Shy,32427,Uzbekistan,2024-03-05,Smart TV
1637,Livibee,Cool With You,40579,South Africa,2024-10-05,Tablet
1638,HappyZerG,Cookie,37827,Israel,2024-07-21,Mobile
1639,rioluTM,Hype Boy,16763,Switzerland,2024-12-07,Tablet
1640,LoLGeranimo,OMG,17282,Brazil,2024-08-08,Smart TV
1641,Mox600,New Jeans,20407,Austria,2024-05-09,Tablet
1642,crouching_tuna,OMG,28165,Switzerland,2024-07-13,Tablet
1643,SNAILKICKtm,Ditto,12949,Morocco,2024-10-20,Desktop
1644,Central_Committee,Super Shy,28706,Bangladesh,2024-04-16,Smart TV
1645,Pohx,New Jeans,32896,Netherlands,2024-01-26,Desktop
1646,PipePunk,Cookie,31058,Netherlands,2024-09-02,Tablet
1647,MissaSinfonia,Attention,29342,Saudi Arabia,2024-06-14,Smart TV
1648,Doctorio,New Jeans,31911,Nepal,2024-12-14,Desktop
1649,tiaguitosrpt69,Hype Boy,40347,Austria,2024-08-08,Mobile
1650,DirtyDan79,ETA,32458,Vietnam,2024-11-15,Tablet
1651,Rumiin,ETA,36093,USA,2024-05-23,Tablet
1652,Chenzo,ETA,32953,Kuwait,2024-02-24,Mobile
1653,lilchiipmunk,Hype Boy,12219,Australia,2024-05-11,Mobile
1654,Orbit,Cookie,38308,Egypt,2024-01-03,Smart TV
1655,itsShayton,Cool With You,41869,Denmark,2024-06-10,Desktop
1656,flyradio895,Super Shy,37841,Venezuela,2024-05-24,Mobile
1657,ArtificialNext,OMG,40556,New Zealand,2024-06-23,Mobile
1658,ImNio,Super Shy,24684,Japan,2024-12-01,Tablet
1659,IMDbE,ETA,34693,Sri Lanka,2024-03-01,Smart TV
1660,BabaYetu_,Hype Boy,35102,China,2024-02-17,Mobile
1661,WoolieVersus,ASAP,41220,Japan,2024-02-24,Tablet
1662,EdEMonster,Cookie,15058,Japan,2024-09-27,Desktop
1663,ORengaar,ASAP,39568,Israel,2024-05-04,Mobile
1664,FREAKNOFREAK,New Jeans,17933,Nigeria,2024-01-10,Tablet
1665,darkosto,New Jeans,20376,Israel,2024-10-23,Tablet
1666,Colas_Bim,Cookie,38164,Kuwait,2024-01-12,Smart TV
1667,ESEA,Attention,38534,Kuwait,2024-02-05,Smart TV
1668,DougDougW,ASAP,23709,Belgium,2024-08-08,Mobile
1669,NobletOfU,Cool With You,19962,Canada,2024-12-21,Tablet
1670,LaPinky,Ditto,14391,Uzbekistan,2024-04-14,Mobile
1671,The8BitDrummer,New Jeans,40187,Israel,2024-08-03,Tablet
1672,burgerwarrior24,New Jeans,16982,Pakistan,2024-10-23,Desktop
1673,Sabaku_no_Sutoriimaa,Super Shy,18573,Colombia,2024-12-25,Mobile
1674,luckraok,Super Shy,34159,Nepal,2024-05-22,Tablet
1675,RedragonBrasil,Attention,10453,Greece,2024-01-07,Mobile
1676,StephenIRL,New Jeans,31407,Algeria,2024-11-18,Smart TV
1677,Crusader3455,ASAP,17074,Finland,2024-08-11,Desktop
1678,ratedhugo,New Jeans,35174,Germany,2024-06-18,Smart TV
1679,Adal,Ditto,32049,Peru,2024-05-03,Mobile
1680,Keizaron,Attention,25376,Portugal,2024-01-20,Desktop
1681,neeko,New Jeans,30966,Kazakhstan,2024-03-07,Mobile
1682,OmegaPro,Cookie,12772,Austria,2024-07-02,Mobile
1683,feden__,Cool With You,38821,Bangladesh,2024-08-09,Mobile
1684,Valkyrae,Cool With You,18344,China,2024-06-21,Smart TV
